file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W3_param.csv,4,-0.7024955193580412,11.672971920098735,-10.66721562738868,0.00100439083914243,bait-W3,0-0-1-1,group_0,ey,7307.692307692308,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W6_param.csv,0,260.1821466408194,1690.5459170279985,2466.142620490904,0.00120343308710109,bait-W6,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W6_param.csv,1,34.13574418419337,-82.04672630726532,-44.21998250200206,0.00120343308710109,bait-W6,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W6_param.csv,2,2.5965664920481095,-15.15797427768786,33.31319166314065,0.00120343308710109,bait-W6,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W6_param.csv,3,8.7760165286786,-1.0787213155151798,21.316256576544347,0.00120343308710109,bait-W6,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W6_param.csv,4,-1.4919169140051567,-6.046893213985806,2.9183774653770596,0.00120343308710109,bait-W6,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W9_param.csv,0,274.5551221866131,1552.4895168180967,2245.4487826951017,0.00231708141369083,bait-W9,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W9_param.csv,1,19.012632334949856,-46.62266761130077,-49.31026256583789,0.00231708141369083,bait-W9,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W9_param.csv,2,-4.142207743129834,-14.41810080398603,1.4666034372209225,0.00231708141369083,bait-W9,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bait-W9_param.csv,3,15.724099111585016,1.0156216463508947,9.51041523160668,0.00231708141369083,bait-W9,0-0-1-1,group_0,ey,8025.641025641025,1,2,bait,1,0.12,NA,NA,B,T,B,TRUE,internal
